gpu_name,manufacturer,old_architecture,new_architecture
Radeon HD 7640G + HD 7400M Dual,AMD,Unknown,GCN
Radeon HD 8570 + 8670D Dual,AMD,Unknown,GCN
Radeon HD 8550G + 8600M Dual,AMD,Unknown,GCN
Radeon HD 7500G + 7500M/7600M Dual,AMD,Unknown,GCN
Radeon HD 7660G + HD 7600M Dual,AMD,Unknown,GCN
Radeon HD 8650G + 8600M Dual,AMD,Unknown,GCN
Radeon HD 7570,AMD,Unknown,GCN
Radeon HD 8550G N HD 8550G + HD 8600M N HD 8600M D,AMD,Unknown,GCN
Radeon HD 8610G + 8500M Dual,AMD,Unknown,GCN
Radeon HD 7640G + HD 8500M Dual,AMD,Unknown,GCN
Radeon HD 8650G + HD 8600M Dual,AMD,Unknown,GCN
Radeon HD 8550G + 8500M Dual,AMD,Unknown,GCN
Radeon HD 8610G + 8670M Dual,AMD,Unknown,GCN
GeForce 8800 GTX,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 8510G + 8500M Dual,AMD,Unknown,GCN
Radeon HD 7640G + 7470M Dual,AMD,Unknown,GCN
Radeon HD 8550G + HD 8600M Dual,AMD,Unknown,GCN
Radeon HD 7520G + 7600M Dual,AMD,Unknown,GCN
GeForce 8800 GTS 512,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 8610G + 8600M Dual,AMD,Unknown,GCN
Radeon HD 7640G + HD 7700M Dual,AMD,Unknown,GCN
Radeon HD 7660G + 7400M Dual,AMD,Unknown,GCN
Radeon HD 7660G + 8670M Dual,AMD,Unknown,GCN
Radeon HD 7520G + 7610M Dual,AMD,Unknown,GCN
Radeon HD 7640G + HD 8600/8700M Dual,AMD,Unknown,GCN
Radeon HD 7640G + 8500M Dual,AMD,Unknown,GCN
Radeon HD 8650G + HD 8670M Dual,AMD,Unknown,GCN
Radeon HD 7520G + 7500/7600 Dual,AMD,Unknown,GCN
Radeon HD 8550G + 8670M Dual,AMD,Unknown,GCN
Radeon HD 8610G + HD 8670M Dual,AMD,Unknown,GCN
Radeon HD 7620G + 8670M Dual,AMD,Unknown,GCN
Radeon HD 8450G + HD 8670M Dual,AMD,Unknown,GCN
Radeon HD 7520G + HD 7700M Dual,AMD,Unknown,GCN
Radeon HD 7520G N HD 7520G + HD 7500/7600 7500/760,AMD,Unknown,GCN
Radeon HD 7560D + 6450 Dual,AMD,Unknown,GCN
GeForce 820A,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 6610M,AMD,Unknown,VLIW5
Radeon HD 7650A,AMD,Unknown,GCN
Radeon HD 8550G + HD 8500M Dual,AMD,Unknown,GCN
Radeon HD 7640G + 8570M Dual,AMD,Unknown,GCN
Radeon HD 7640G + 8670M Dual,AMD,Unknown,GCN
Radeon HD 7600G + HD 7500M/7600M Dual,AMD,Unknown,GCN
Radeon HD 8670D,AMD,Unknown,GCN
Radeon HD 8550G + HD 8670M Dual,AMD,Unknown,GCN
Radeon HD 8450G + 8600M Dual,AMD,Unknown,GCN
Radeon HD 7520G + HD 7400M Dual,AMD,Unknown,GCN
FirePro 3D V7750,AMD,Unknown,GCN
Radeon HD 7600G + HD 8670M Dual,AMD,Unknown,GCN
Mobility Radeon HD 5570,AMD,Unknown,VLIW5
Radeon HD 7520G + 7470M Dual,AMD,Unknown,GCN
Radeon HD 7560D + HD 7000 Dual,AMD,Unknown,GCN
Radeon HD 8550G + 8570M Dual,AMD,Unknown,GCN
RADEON HD6530D,AMD,Unknown,VLIW5
Radeon HD 8550G + HD 8570M Dual,AMD,Unknown,GCN
Radeon HD 7640G + 6400M Dual,AMD,Unknown,GCN
Radeon HD 8650D,AMD,Unknown,GCN
Radeon HD 7600G N HD 7600G + HD ON HD Dual,AMD,Unknown,GCN
Radeon HD 7520G + 7670M Dual,AMD,Unknown,GCN
Radeon HD 8670M,AMD,Unknown,GCN
GeForce 8800 GT,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 7640G + HD 7670M Dual,AMD,Unknown,GCN
GeForce 820M,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 7640G + 7610M Dual,AMD,Unknown,GCN
Radeon HD 7600G + HD 7550M Dual,AMD,Unknown,GCN
Radeon HD 7620G + 8600M Dual,AMD,Unknown,GCN
Radeon HD 7620G + HD 8670M Dual,AMD,Unknown,GCN
Radeon HD 7660D,AMD,Unknown,GCN
Radeon HD 8450G + HD 8750M Dual,AMD,Unknown,GCN
Radeon HD 7500G + 7550M Dual,AMD,Unknown,GCN
Radeon HD 6570,AMD,Unknown,VLIW5
Radeon HD 7520G + HD 7670M Dual,AMD,Unknown,GCN
Radeon HD8530M,AMD,Unknown,GCN
Radeon HD 8670D N HD 8670D + HD 8670D Dual,AMD,Unknown,GCN
Mobility Radeon HD 5730,AMD,Unknown,VLIW5
Radeon HD 7520G + 7400M Dual,AMD,Unknown,GCN
Radeon HD 7670M,AMD,Unknown,GCN
Radeon HD 8610G + HD 8600M Dual,AMD,Unknown,GCN
Mobility Radeon HD 5000 Serisi,AMD,Unknown,VLIW5
Radeon HD 8650G,AMD,Unknown,GCN
Radeon HD 7660G,AMD,Unknown,GCN
Radeon HD 7640G + HD 8570M Dual,AMD,Unknown,GCN
Radeon HD 8450G + 8670M Dual,AMD,Unknown,GCN
Radeon HD 5570,AMD,Unknown,VLIW5
Radeon HD 7560D,AMD,Unknown,GCN
FirePro 3D V3800,AMD,Unknown,GCN
Radeon HD 7600G + 8500M/8700M Dual,AMD,Unknown,GCN
GeForce 800M,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 7660D + 7470 Dual,AMD,Unknown,GCN
Radeon HD 8690A,AMD,Unknown,GCN
Radeon HD 7550M,AMD,Unknown,GCN
GeForce 8800M GTX,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 7660G + HD 7600M N HD 7600M Dual,AMD,Unknown,GCN
Radeon HD 7520G + 7650M Dual,AMD,Unknown,GCN
Radeon HD 8450G + HD 8600M Dual,AMD,Unknown,GCN
Radeon HD 7620G N HD 7620G + HD 8600M N HD 8600M D,AMD,Unknown,GCN
Radeon HD 7650M,AMD,Unknown,GCN
Mobility Radeon HD 5650,AMD,Unknown,VLIW5
Radeon HD 7640G,AMD,Unknown,GCN
Radeon HD 7520G + HD 7600M Dual,AMD,Unknown,GCN
Radeon HD 7660G + 8600M Dual,AMD,Unknown,GCN
Radeon HD 7570M,AMD,Unknown,GCN
Radeon HD 7620G + HD 8600M Dual,AMD,Unknown,GCN
Radeon HD 8350G,AMD,Unknown,GCN
GeForce 8800 GTS,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 8410G,AMD,Unknown,GCN
Radeon HD 7600G + HD Dual,AMD,Unknown,GCN
Radeon HD 8570D,AMD,Unknown,GCN
GeForce 800A,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 7640G + HD 7500/7600 Dual,AMD,Unknown,GCN
Radeon HD 7600G + 7550M Dual,AMD,Unknown,GCN
RADEON HD6410D,AMD,Unknown,VLIW5
Radeon HD 7640G N HD 7640G + HD 8570M Dual,AMD,Unknown,GCN
Radeon HD 8570M,AMD,Unknown,GCN
Radeon HD 6550D,AMD,Unknown,VLIW5
Radeon HD 8610G,AMD,Unknown,GCN
Radeon HD 7470M,AMD,Unknown,GCN
Radeon HD 7640G + HD 7600M N HD 7600M Dual,AMD,Unknown,GCN
Radeon HD 7600G + 7500M/7600M Dual,AMD,Unknown,GCN
FirePro M2000,AMD,Unknown,GCN
Radeon HD 8550G,AMD,Unknown,GCN
GeForce 810M,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 8500M,AMD,Unknown,GCN
Radeon HD 7600G + 7450M Dual,AMD,Unknown,GCN
Radeon HD 5550,AMD,Unknown,VLIW5
GeForce 8800M GTS,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 6490M,AMD,Unknown,VLIW5
Radeon HD 7520G + 8750M Dual,AMD,Unknown,GCN
Radeon HD 7600G + 6400M Dual,AMD,Unknown,GCN
Radeon HD 8570D + HD8490 Dual,AMD,Unknown,GCN
Radeon HD 7620G,AMD,Unknown,GCN
Radeon HD 7520G N HD 7520G + HD 7600M N HD 7600M D,AMD,Unknown,GCN
Radeon HD 7660G + HD 8600M Dual,AMD,Unknown,GCN
Radeon HD 8470D,AMD,Unknown,GCN
Radeon HD 8450G,AMD,Unknown,GCN
Radeon HD 8510G,AMD,Unknown,GCN
Radeon HD 7500G + HD 7500M/7600M Dual,AMD,Unknown,GCN
Radeon HD 6620G,AMD,Unknown,VLIW5
Radeon HD 6480M,AMD,Unknown,VLIW5
Mobility Radeon HD 565v,AMD,Unknown,VLIW5
Radeon HD 7580D,AMD,Unknown,GCN
Radeon HD 8310E,AMD,Unknown,GCN
FirePro 3D V3750,AMD,Unknown,GCN
Radeon HD 7660D + HD 7400 Dual,AMD,Unknown,GCN
Radeon HD 8570D + HD 8470 Dual,AMD,Unknown,GCN
Radeon HD 7540D,AMD,Unknown,GCN
FirePro RG220,AMD,Unknown,GCN
GeForce 8800 GS,NVIDIA,Unknown,Tesla (Legacy)
FirePro V3800,AMD,Unknown,GCN
Radeon HD 7500G,AMD,Unknown,GCN
Radeon HD 7450M,AMD,Unknown,GCN
Radeon HD 7600G + HD 7400M Dual,AMD,Unknown,GCN
Radeon HD 6530D,AMD,Unknown,VLIW5
Radeon E6460,AMD,Unknown,GCN
RADEON HD6370D,AMD,Unknown,VLIW5
Radeon HD 7600G,AMD,Unknown,GCN
Radeon HD 8280,AMD,Unknown,GCN
Mobility Radeon HD 560v,AMD,Unknown,VLIW5
Radeon HD 7470,AMD,Unknown,GCN
Radeon HD 7520G,AMD,Unknown,GCN
Radeon HD 7520G + 8600/8700M Dual,AMD,Unknown,GCN
Radeon HD 8370D,AMD,Unknown,GCN
Radeon HD 7420G,AMD,Unknown,GCN
Radeon HD 6520G,AMD,Unknown,VLIW5
GeForce GT 520MX,NVIDIA,Unknown,Pascal
Radeon HD 7450A,AMD,Unknown,GCN
Radeon HD 7480D,AMD,Unknown,GCN
Mobility Radeon HD 5165,AMD,Unknown,VLIW5
Radeon HD 6370M,AMD,Unknown,VLIW5
Radeon HD 8400E,AMD,Unknown,GCN
Radeon HD 8280G,AMD,Unknown,GCN
Radeon HD 5470,AMD,Unknown,VLIW5
Radeon HD 7400G,AMD,Unknown,GCN
Mobility Radeon HD 550v,AMD,Unknown,VLIW5
Radeon HD 8490,AMD,Unknown,GCN
Radeon HD 6450A,AMD,Unknown,VLIW5
Radeon HD 6480G,AMD,Unknown,VLIW5
Radeon HD 8400,AMD,Unknown,GCN
Radeon HD 8470,AMD,Unknown,GCN
Radeon HD 6370D,AMD,Unknown,VLIW5
Radeon HD 8330,AMD,Unknown,GCN
Radeon HD 7640G + 8600M Dual,AMD,Unknown,GCN
Radeon HD 6410D,AMD,Unknown,VLIW5
Radeon HD 8330E,AMD,Unknown,GCN
Radeon HD 8240,AMD,Unknown,GCN
Radeon HD 8280E,AMD,Unknown,GCN
Mobility Radeon HD 5470,AMD,Unknown,VLIW5
Radeon E6465,AMD,Unknown,GCN
Radeon HD 6470M,AMD,Unknown,VLIW5
Radeon HD 7340M,AMD,Unknown,GCN
Radeon HD 7450,AMD,Unknown,GCN
Radeon HD 6320 Graphic,AMD,Unknown,VLIW5
Mobility Radeon. HD 5470,AMD,Unknown,VLIW5
Mobility Radeon HD 5450,AMD,Unknown,VLIW5
Radeon HD 8250,AMD,Unknown,GCN
Radeon HD 6380G,AMD,Unknown,VLIW5
Mobility Radeon HD 545v,AMD,Unknown,VLIW5
Radeon HD 6450,AMD,Unknown,VLIW5
RADEON HD7450,AMD,Unknown,GCN
Radeon HD 6320M,AMD,Unknown,VLIW5
Radeon HD 7340G,AMD,Unknown,GCN
Radeon HD 8210E,AMD,Unknown,GCN
Radeon HD 6430M,AMD,Unknown,VLIW5
Radeon HD 7350,AMD,Unknown,GCN
Radeon HD 8210,AMD,Unknown,GCN
Mobility Radeon HD 540v,AMD,Unknown,VLIW5
Radeon HD 7310G,AMD,Unknown,GCN
Mobility Radeon HD 5430,AMD,Unknown,VLIW5
FirePro 3D V3700,AMD,Unknown,GCN
Radeon HD 6230,AMD,Unknown,VLIW5
Mobility Radeon HD 530v,AMD,Unknown,VLIW5
Radeon HD 7310 - Carte graphique,AMD,Unknown,GCN
FirePro 2460,AMD,Unknown,GCN
Radeon HD 7310M,AMD,Unknown,GCN
Radeon HD 8350,AMD,Unknown,GCN
GeForce 8600 GTS,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 7340,AMD,Unknown,GCN
GeForce 8200,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 8180,AMD,Unknown,GCN
Radeon HD 6320,AMD,Unknown,VLIW5
FirePro 2270,AMD,Unknown,GCN
Radeon HD 6300M,AMD,Unknown,VLIW5
RADEON HD 6350,AMD,Unknown,VLIW5
Radeon HD 6290M,AMD,Unknown,VLIW5
Radeon HD 5450,AMD,Unknown,VLIW5
Radeon HD 7310,AMD,Unknown,GCN
GeForce 8400 GS,NVIDIA,Unknown,Tesla (Legacy)
GeForce 8700M GT,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 6310,AMD,Unknown,VLIW5
Radeon HD 7290M,AMD,Unknown,GCN
GeForce 8600 GT,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 7290,AMD,Unknown,GCN
GeForce 8500 GT,NVIDIA,Unknown,Tesla (Legacy)
FirePro 2260,AMD,Unknown,GCN
Radeon HD 6290,AMD,Unknown,VLIW5
GeForce 8300,NVIDIA,Unknown,Tesla (Legacy)
GeForce 8400M GS,NVIDIA,Unknown,Tesla (Legacy)
Radeon HD 6250,AMD,Unknown,VLIW5
GeForce 8600 GS,NVIDIA,Unknown,Tesla (Legacy)
GeForce 8600M GT,NVIDIA,Unknown,Tesla (Legacy)
GeForce 8400,NVIDIA,Unknown,Tesla (Legacy)
GeForce 8100 / nForce 720a,NVIDIA,Unknown,Tesla (Legacy)
GeForce 8600M GS,NVIDIA,Unknown,Tesla (Legacy)
GeForce 8200M G,NVIDIA,Unknown,Tesla (Legacy)
GeForce 8400 SE,NVIDIA,Unknown,Tesla (Legacy)
GeForce 8300 GS,NVIDIA,Unknown,Tesla (Legacy)
GeForce 8400M GT,NVIDIA,Unknown,Tesla (Legacy)
GeForce 8400M G,NVIDIA,Unknown,Tesla (Legacy)
FirePro 2450,AMD,Unknown,GCN
GeForce FX 5600XT,NVIDIA,Unknown,Turing
GeForce4 MX Integrated GPU,NVIDIA,Unknown,Pascal
GeForce4 Ti 4600,NVIDIA,Unknown,Turing
GeForce2 MX with DVI-D and TV-out,NVIDIA,Unknown,Pascal
GeForce4 MX 440SE,NVIDIA,Unknown,Pascal
GeForce4 MX 440 with AGP8X,NVIDIA,Unknown,Pascal
GeForce4 MX 4000,NVIDIA,Unknown,Pascal
GeForce4 MX 420,NVIDIA,Unknown,Pascal
GeForce4 MX 440,NVIDIA,Unknown,Pascal
GeForce2 MX/MX 400,NVIDIA,Unknown,Pascal
GeForce4 MX 460,NVIDIA,Unknown,Pascal
GeForce2 MX,NVIDIA,Unknown,Pascal
64MB GeForce2 MX with TV Out,NVIDIA,Unknown,Pascal
GeForce2 MX 100/200,NVIDIA,Unknown,Pascal
